place_number;booking_weezpay_account;stall_name;drink_categories;food_types
744.66;2183-009;Sionwine.ch invité Swiss Wine Valais;vins;Sandwich
744.64;2183-010;Brasserie de la Meute;minérales, bières, liquoreux;
744.62;2183-011;La Grillette & Domaine Grisoni;vins;
744.60;2183-012;Cave des Lauriers et Goût et Région;minérales, vins, liquoreux;Fondue au fromage
744.58;2183-013;Vins Nicolet & Vouga;minérales, vins;
744.50;2183-014;Maison de la Tourbière;;Raclette
744.48;2183-015;Domaine Divernois;minérales, vins;
744.56;2183-016;Poissonnerie Berger;;Friture de poisson du lac et frite
744.44;2183-017;Absinthe La Valote Martin;vins, liquoreux;
744.42;2183-018;Boucherie du Palais Invité Regio Garantie Genève;minérales;Délice Genevois Pistaché, Petit Pâté Genevois, Croissant au Jambon Traditionnel, Croissant Genevois , saucisson secs au Gamaret, Saucisson sec de Porc de Jussy, Filet de Porc sec de Jussy, Coppa de Porc de Jussy, Saucisse à l'Ail de Jussy, Planchette Genevoise
744.40;2183-019;Swiss Wine Genève;vins;
744.38;2183-020;Caves de la Ville;vins;
744.36;2183-021;Brasserie B'art;minérales, bières;Burgers
537.10;2405-002;Stand de Kheiri;minérales, vins, bières, liquoreux;Burgers, Grillades, Kebab, Sandwich, Spécialités Africaines, Spécialités Orientales
537.25;2076-002;Stand de FC DM Surfaces;minérales, vins, bières, liquoreux, cocktails;Steak vigneron
537.19;2303-006;Stand de willy bonnaval;cocktails;Churros
384.14;2543-002;Stand de k hamma;;Sandwich, Spécialité Grec
387.05;2545-003;Stand de ncswiss;minérales, vins, bières, liquoreux, cocktails;Churros, nougat
648.34;2171-002;Stand de Franck Pellet;;Churros, Crêpes
657.02;2303-007;Stand de willy bonnaval;;Sucrerie
537.04;2252-004;Chick n chips;;Nuggets poulet
744.18;2304-002;Stand de Hoppy Truck Company;minérales, bières, liquoreux;
045.24;2023-002;LABELFRITES;minérales;Steak vigneron, Hot-dog , Merguez, Frites
198.03;2054-002;Stand de Festi'neuch;minérales, vins, bières, liquoreux, cocktails;
726.07;2539-002;Le valais chez vous;bières, cocktails;Raclette
045.06;2547-002;Mariana Crêpes et Titi Raclette;minérales, vins, bières;Churros, Crêpes, Raclette
045.14;2275-002;poulet secret;;Burgers, Spécialités Amérique latine, poulet frite
744.28;2468-002;Stand Bifadoro;;Spécialités Portugaises
657.26;2158-002;Stand de Lopes Carlos;minérales, vins, bières, liquoreux, cocktails;Churros, Spécialités Portugaises
732.16;2540-002;BELLA PALOMO - Chilean Food & Point 0;minérales,  toutes les boissons sans alcools (mocktails, bières, vins, mousseux..),  bar à jus de fruits;Sandwich, Spécialités Amérique latine, Hot-dog et frites
537.29;2461-002;HC Neuchâtel Young Sprinters;minérales, vins, bières, liquoreux, cocktails;Raclette, Sandwich
648.06;2413-003;Stand de Tamara;minérales, liquoreux;Churros, Crêpes
744.20;2413-004;Stand de Tamara;minérales, liquoreux;
537.08;2517-002;Stand de regaltandoori;minérales, vins, bières;Cuisine Indien
627.06;2217-002;Stand de Jonathan Perret;minérales, vins, bières, liquoreux;
537.26;2076-003;Stand Vekteur;minérales, vins, bières, liquoreux, cocktails;
537.27;2541-002;Stand Partenaires FDV;minérales, vins, bières, liquoreux, cocktails;Buffet froid composé de diverses pâtisseries italiennes
198.13;2322-002;Stand de eric beguelin;vins, bières;Hot fondue
198.15;2531-002;YAKIMI;;Spécialités Asiatiques
384.12;2551-002;La Terra del Sud di Salento;minérales, vins, bières;
384.15;2528-002;Cow on the Road;;Burgers, Sandwich, Tartares
726.02;2524-002;Hans Grüezi;;Raclette, Sandwich, Rösti frite sauce gruyère, steack raclette sandwich
744.26;2542-002;L'Oeuforie;;Burgoeufs TM
045.16;2474-002;BELGA;minérales, bières;Spécialités belges (frites, snacks, mitraillettes)
744.03;2285-002;Stand de Asia-Food;;Spécialités Asiatiques
384.08;2398-002;Stand de boucherie artisanal de L’Etivaz;;Grillades, mac raclette
648.21;2361-002;Stand de fati yoann;minérales, vins, bières, liquoreux, cocktails;
045.28;2361-002;Stand de fati yoann;minérales, vins, bières, liquoreux, cocktails;
648.05;2170-003;Stand de Wenger Tupan Anita;minérales;Burgers
744.54;2200-002;Stand de Geissel Pascal;;
657.16;2496-002;La Patanne;;Patates en spirales
648.26;2125-007;Stand de Duong Khanh Hiep;;Spécialités Asiatiques
537.06;2559-002;Stand de Coco Thaï Cuisine;minérales, bières;Spécialités Asiatiques
744.30;2561-002;Nach-Bar;minérales, vins, bières, liquoreux;
744.24;2171-004;Stand de Bonnaval;;Churros
744.46;2183-022;L'Auberge d'Hauterive & Domaine Brunner;vins;Risotto, pâté de chasse, dessert
615.25;2560-002;Zia Kurtos;;Confiserie, Kurtoskalacs spécialité hongroise
657.20;2246-002;Paradis Kebab;minérales, bières;Burgers, Kebab, Sandwich, Tacos
726.27;2569-002;Stand de aboulhassanesamia;minérales;Spécialité marocaine
615.06;2571-002;Stand Mendes;minérales, vins, bières, liquoreux;Raclette
615.04;2520-002;Stand Québécois;minérales, bières, liquoreux, cocktails;Spécialités québécoises
726.15;2550-002;Saveurs Du Tibet;minérales;Brioche Tibétaine
615.08;2571-002;Stand de chezmendes;minérales, bières, liquoreux;Poissons, Frites
648.09;2570-002;Stand de lescrepesgourmandes;;Crêpes, Sandwich, gaufres
744.10;2573-002;Stand de marketing;minérales, vins, bières, liquoreux;Spécialités antillaises petits encas et desserts
276.06;2575-002;Stand de paul richeux;vins;Huitres/Vin Blanc, Fritures a base de Fromage
615.29;2568-002;Portes de Novembre by Maison Gilliard;minérales, vins;
744.14;2580-002;Stand de hectorfmr;minérales, bières, liquoreux, cocktails;Spécialités Amérique latine
657.10;2581-002;Panares Gourmet;;Sandwich, Spécialités Amérique latine, Burritos
627.17;2410-002;Stand de Cabanons;;
537.18;2588-002;La cabane à cocktails;minérales, vins, bières, cocktails;
726.05;2589-002;Tropical Pirate;minérales, bières, liquoreux, cocktails;
726.21;2591-002;Stand de yumbab europe;minérales, bières, liquoreux, cocktails;
792.04;2413-005;Stand de Tamara;;Crêpes
726.04;2593-002;Pastef Neuchâtel;minérales, vins, bières, liquoreux, cocktails;Spécialités Africaines
276.10;2587-002;Krishna Take-Away Indien Sàrl;minérales, vins, bières, liquoreux, cocktails;Spécialités Asiatiques, Specialités sri-lankaise
627.21;2410-003;Stand de Cabanons;;
657.04;2250-003;Stand de Yonten Tratsang;;Tibétains
615.19;2595-002;EFFEMME DISTRIBUTION SÀRL (o-caffe.ch);minérales, liquoreux;
000.01;2077-002;CASHLESS VOIRIE;;
000.02;2077-003;CASHLESS LOUNGE TERROIR;;
537.24;2599-003;Stand de tapis marbre;;Churros, Crêpes
000.03;2601-002;Stand de naveen begni;;
000.04;2077-004;CHRISTIAN JEAN;;
219.01;2495-002;Stand de contact;;
648.30;2554-002;Stand de gulselgormez;minérales, bières;Kebab, hot dog frites
615.10;2603-002;Stand de Le Petit Train Rouge;;Burgers, Pizza
